year,country_slug,source_pdf,words,testament,unwavering,steadfast,resonate,navigate,foster,harness,beacon,embark,landscape,transformative,crossroads,profound,robust,seamless,bolster,delve,intricate,underscore,showcase,nuanced,multifaceted,tapestry,realm,meticulous,delineate,paramount,myriad,pivotal,sovereignty,cooperation,development,security,peace,dialogue,support,people
2015,fiji,https://gadebate.un.org/sites/default/files/gastatements/70/70_fj_en_24.pdf,2344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,4,9
2015,finland,https://gadebate.un.org/sites/default/files/gastatements/70/70_fi_en_25.pdf,1103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,1,0
2015,georgia,https://gadebate.un.org/sites/default/files/gastatements/70/70_ge_en_2_24.pdf,2071,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,7,9,9,0,5,11
2015,ghana,https://gadebate.un.org/sites/default/files/gastatements/70/70_gh_en_25.pdf,2610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,1,3
2015,greece,https://gadebate.un.org/sites/default/files/gastatements/70/70_gr_en_24.pdf,1682,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,2,2,7,9
2015,grenada,https://gadebate.un.org/sites/default/files/gastatements/70/70_gd_en_24.pdf,1561,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,8,2,6,5
2015,guinea-bissau,https://gadebate.un.org/sites/default/files/gastatements/70/70_gw_en_24.pdf,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,3,0,2,3
2015,guyana,https://gadebate.un.org/sites/default/files/gastatements/70/70_gy_en_25.pdf,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,8,0,1,2
2015,holy-see,https://gadebate.un.org/sites/default/files/gastatements/70/70_va_en_24.pdf,2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,11,0,0,10
2015,india,https://gadebate.un.org/sites/default/files/gastatements/70/70_in_en_2_24.pdf,2877,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,2,6,4
2015,indonesia,https://gadebate.un.org/sites/default/files/gastatements/70/70_id_en_24.pdf,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,2,3,6
2015,iran-islamic-republic,https://gadebate.un.org/sites/default/files/gastatements/70/70_iran_en_25.pdf,2235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,10,11,15,4,4,6
2015,ireland,https://gadebate.un.org/sites/default/files/gastatements/70/70_ie_en_24.pdf,2525,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,16,13,0,10,15
2015,israel,https://gadebate.un.org/sites/default/files/gastatements/70/il_en_24.pdf,3682,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,3,20
2015,jamaica,https://gadebate.un.org/sites/default/files/gastatements/70/70_jm_en_24.pdf,2530,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,11,13,2,6,11
2015,japan,https://gadebate.un.org/sites/default/files/gastatements/70/70_jp_en_25.pdf,2460,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,8,0,3,8
2015,kazakhstan,https://gadebate.un.org/sites/default/files/gastatements/70/70_republic_of_kazakhstan_en_25.pdf,1576,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,5,1,2,4,1
2015,kenya,https://gadebate.un.org/sites/default/files/gastatements/70/70_ke_en_25.pdf,2860,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,48,16,16,0,11,5
2015,kiribati,https://gadebate.un.org/sites/default/files/gastatements/70/70_ki_en_24.pdf,2285,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,4,4,2,2,15
2015,lao-peoples-democratic-republic,https://gadebate.un.org/sites/default/files/gastatements/70/70_la_en_2_24.pdf,1690,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,4,10,2,8,5
2015,latvia,https://gadebate.un.org/sites/default/files/gastatements/70/70_lv_en_25.pdf,1474,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,3,0,10,2
2015,lesotho,https://gadebate.un.org/sites/default/files/gastatements/70/70_ls_en_24.pdf,2478,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7,1,3,9
2015,liberia,https://gadebate.un.org/sites/default/files/gastatements/70/70_lr_en_25.pdf,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,2,7,0,6,4
2015,liechtenstein,https://gadebate.un.org/sites/default/files/gastatements/70/70_li_en_2_24.pdf,1520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,3,8
2015,lithuania,https://gadebate.un.org/sites/default/files/gastatements/70/70_lt_en_24.pdf,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0,4
2015,malawi,https://gadebate.un.org/sites/default/files/gastatements/70/70_mw_en_25.pdf,1573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,7,11,0,3,8
2015,malaysia,https://gadebate.un.org/sites/default/files/gastatements/70/70_my_en_24.pdf,2222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,0,1,12
2015,maldives,https://gadebate.un.org/sites/default/files/gastatements/70/70_mv_en_24.pdf,1574,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,5
2015,mali,https://gadebate.un.org/sites/default/files/gastatements/70/70_ml_en_25.pdf,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2015,malta,https://gadebate.un.org/sites/default/files/gastatements/70/70_mt_en_25.pdf,2358,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,3,4,3,2,17
2015,marshall-islands,https://gadebate.un.org/sites/default/files/gastatements/70/70_mh_en_24.pdf,1689,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,2,0,4,1
